templatic_post_author,templatic_post_date,templatic_post_title,templatic_post_category,templatic_img,templatic_post_tags,templatic_post_content,templatic_post_excerpt,templatic_post_status,templatic_comment_status,templatic_ping_status,templatic_post_name,templatic_post_type,templatic_post_comment_count,templatic_comments_data
1,7/24/2012 10:56,Lorem Ipsum,Uncategorized,,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,lorem-ipsum,post,0,
1,7/24/2012 11:00,sample post,sample_cat,,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,sample post,post,0,
1,7/24/2012 11:01,sample post1,sample_cat1,,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,sample post1,post,0,
1,9/7/2012 9:52,An Exhibition,Blog,blg1.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,an-exhibition,post,0,
1,9/7/2012 9:52,Festivals,Blog,blg2.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,festivals,post,0,
1,9/7/2012 9:52,Nightlife,Blog,blg3.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,nightlife,post,0,
1,9/7/2012 9:52,Life Beyond Earth,Blog,blg4.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,life-beyond-earth,post,0,
1,9/7/2012 9:52,Social Innovation,Blog,blg5.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,social-innovation,post,0,
1,7/24/2012 10:56,Lorem Ipsumsasdads,Uncategorized,,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,lorem-ipsumqw,post,0,
1,7/24/2012 11:00,export data,exp_cat,,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,export data,post,0,
1,7/24/2012 11:01,import data,imp_cat,,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,export data,post,0,
1,9/7/2012 9:52,An Exhibitionsdfsdf,Blog,blg1.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,an-exhibitionsdasd,post,0,
1,9/7/2012 9:52,Festivalsdfgdfg,Blog,blg2.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,festivalsasdasd,post,0,
1,9/7/2012 9:52,Nightlifefwerw,Blog,blg3.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,nightlifezczc,post,0,
1,9/7/2012 9:52,Life Beyond Earthwerwrew,Blog,blg4.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,life-beyond-earthqweq,post,0,
1,9/7/2012 9:52,Social Innovationasdasd,Blog,blg5.jpg,,"Lorem Ipsum Quis eu sapien sodales consequat fermentum. Commodo arcu, venenatis amet et",,publish,open,open,social-innovationgfhfg,post,0,
